Model,Metric,pole,vegetation,rider,motorcycle,sky,person,fence,traffic light,train,traffic sign,sidewalk,road,wall,terrain,building,car,bicycle
pidnet-s,IoU,9.49,41.05,4.65,4.13,0.32,17.52,19.76,13.0,0.0,10.89,5.89,61.35,5.4,14.2,27.87,13.38,3.73
pidnet-s,Acc,10.36,50.87,5.07,4.51,0.32,25.69,27.95,15.32,0.0,11.75,6.08,72.6,6.72,42.08,58.89,62.49,4.01
pidnet-m,IoU,11.04,39.94,11.13,9.11,0.0,17.2,18.21,14.16,0.0,12.02,4.24,55.5,1.06,11.49,32.84,3.97,2.05
pidnet-m,Acc,12.51,51.86,11.75,10.03,0.0,21.08,20.97,15.51,0.0,14.93,4.28,61.75,1.4,46.5,76.13,80.62,2.15
pidnet-l,IoU,12.19,31.85,0.32,1.42,0.55,16.74,22.44,7.04,0.0,10.11,19.57,71.45,7.45,12.77,36.43,21.91,1.83
pidnet-l,Acc,13.71,74.11,0.32,1.44,0.55,19.13,33.2,9.02,0.0,10.75,24.15,85.42,9.53,35.69,53.43,51.84,2.09
bisenetv2_fcn,IoU,5.23,26.59,4.47,0.91,0.09,5.76,2.73,6.97,0.0,8.08,7.6,63.6,2.3,11.15,32.99,10.44,0.16
bisenetv2_fcn,Acc,5.53,28.7,5.77,1.0,0.09,14.11,2.76,9.08,0.0,8.48,8.53,96.88,3.51,16.92,84.04,43.55,0.16
segformer_mit-b0,IoU,13.67,42.35,9.58,0.7,0.04,7.29,15.66,7.12,0.0,9.14,8.79,55.99,4.62,21.3,45.59,49.08,3.89
segformer_mit-b0,Acc,14.67,64.68,11.18,0.72,0.04,7.64,16.36,11.32,0.0,9.43,9.27,98.21,7.05,33.8,84.07,56.53,3.99
segformer_mit-b1,IoU,19.71,37.58,11.51,1.79,0.14,11.2,18.27,9.35,0.0,11.45,14.93,75.97,5.19,13.91,45.66,26.36,10.39
segformer_mit-b1,Acc,22.74,75.81,15.01,1.83,0.14,12.33,19.1,17.68,0.0,13.81,16.4,93.48,7.18,65.96,77.74,77.05,11.25
segformer_mit-b2,IoU,20.36,40.24,17.88,10.34,2.43,16.54,30.43,19.24,0.0,11.87,28.85,73.34,12.85,27.55,55.11,57.4,24.76
segformer_mit-b2,Acc,23.95,91.74,59.53,12.22,2.44,23.82,34.41,57.55,0.0,12.11,31.55,99.23,18.43,44.75,73.73,73.82,29.34
ddrnet,IoU,9.62,33.82,0.0,0.64,0.0,7.76,6.26,10.05,0.0,8.53,5.64,42.78,0.47,15.61,27.98,3.74,1.0
ddrnet,Acc,10.54,39.14,0.0,0.66,0.0,8.79,6.44,13.23,0.0,8.89,5.8,44.99,0.49,26.82,71.78,59.16,1.01
mask2former_r101,IoU,18.58,37.76,6.98,0.0,0.22,25.28,31.32,36.89,0.0,16.62,7.85,79.94,12.24,10.43,36.25,36.85,4.2
mask2former_r101,Acc,22.33,43.32,40.71,0.0,0.22,30.6,38.76,68.87,0.0,25.88,8.63,89.28,19.45,67.32,87.98,75.13,5.43
mask2former_swin-b-in22k-384x384-pre,IoU,44.04,52.4,41.31,15.37,3.42,25.69,26.26,34.14,0.0,25.92,30.4,70.16,15.47,38.03,58.74,66.59,19.71
mask2former_swin-b-in22k-384x384-pre,Acc,53.25,81.32,45.0,19.39,3.42,45.33,37.47,53.77,0.0,29.2,41.64,98.63,25.98,53.67,88.69,90.66,22.51
mask2former_swin-l-in22k-384x384-pre,IoU,42.93,52.13,41.96,7.67,41.89,25.8,33.84,29.8,0.0,21.09,55.52,88.89,31.9,26.72,68.31,74.93,27.17
mask2former_swin-l-in22k-384x384-pre,Acc,53.4,83.65,43.59,7.99,42.86,76.66,42.79,77.43,0.0,23.95,73.74,97.23,58.67,30.52,88.18,92.25,32.32
stdc1,IoU,14.49,27.25,10.09,0.0,0.27,14.12,20.06,0.22,0.0,10.49,26.32,36.73,2.76,13.25,51.11,10.75,7.07
stdc1,Acc,17.47,32.37,10.32,0.0,0.27,25.48,23.36,0.25,0.0,11.04,41.27,86.94,4.34,49.38,68.09,61.17,7.99
stdc1_in1k-pre,IoU,9.48,29.78,0.0,0.13,0.0,10.02,8.33,33.7,0.0,6.06,7.07,42.61,5.02,14.26,30.84,3.63,1.94
stdc1_in1k-pre,Acc,10.23,33.98,0.0,0.13,0.0,19.97,8.58,48.46,0.0,6.29,7.4,47.62,6.33,21.33,75.15,50.2,1.97
stdc2_in1k-pre,IoU,10.92,38.73,8.36,1.67,0.55,18.77,14.15,6.77,0.0,8.52,30.42,61.97,5.87,12.78,41.44,7.15,0.27
stdc2_in1k-pre,Acc,12.27,62.49,10.14,1.72,0.55,24.0,14.94,7.77,0.0,9.28,37.49,89.39,14.57,41.22,64.36,56.93,0.29
