Model,Metric,fence,car,person,building,sky,pole,traffic sign,motorcycle,bicycle,wall,train,terrain,road,vegetation,truck,traffic light,sidewalk,rider,bus
pidnet-s,IoU,30.36,65.87,66.26,74.11,82.12,34.63,29.04,34.35,51.97,6.88,0.5,51.79,77.67,66.85,54.42,28.96,46.71,32.86,37.84
pidnet-s,Acc,42.6,82.84,89.07,91.87,83.04,39.75,32.18,43.4,79.38,23.7,19.77,74.1,84.69,81.12,59.01,30.55,57.15,57.91,69.57
pidnet-m,IoU,35.56,67.34,69.09,75.03,85.36,38.4,32.38,31.76,46.32,8.83,6.95,53.67,81.83,69.54,57.52,30.44,51.48,41.09,58.21
pidnet-m,Acc,40.09,84.9,89.41,93.4,86.17,44.99,36.04,37.62,82.43,22.56,37.82,64.98,89.15,82.2,68.23,31.97,61.42,55.29,75.11
pidnet-l,IoU,33.48,66.51,73.08,75.59,79.8,39.79,31.96,30.75,49.46,9.46,1.65,52.99,81.08,66.11,53.49,29.84,51.47,29.08,49.17
pidnet-l,Acc,41.75,85.77,86.91,87.2,80.7,45.32,37.97,35.49,85.0,27.12,59.68,74.55,87.12,88.08,68.9,31.27,65.54,43.31,67.64
bisenetv2_fcn,IoU,26.71,48.49,53.6,68.75,74.45,32.1,26.33,15.38,53.55,0.66,7.78,22.47,73.75,67.69,29.67,24.34,42.97,28.46,18.54
bisenetv2_fcn,Acc,35.67,79.09,89.01,84.4,75.57,37.42,32.39,16.78,63.33,14.25,24.02,33.62,82.71,86.46,39.07,26.0,51.56,40.1,66.35
segformer_mit-b0,IoU,27.6,71.8,72.1,74.72,86.08,39.3,35.02,30.2,59.53,3.43,5.69,59.24,82.26,70.55,54.28,43.59,51.2,41.56,40.67
segformer_mit-b0,Acc,39.96,82.19,85.64,94.94,86.8,46.27,38.83,31.56,82.92,15.43,26.53,76.38,91.1,79.09,60.54,48.11,57.6,56.43,53.6
segformer_mit-b1,IoU,34.45,72.95,73.21,75.16,88.78,44.19,41.63,36.4,55.65,7.82,10.95,59.45,82.69,69.84,65.44,37.59,54.41,41.18,48.83
segformer_mit-b1,Acc,40.36,85.97,86.92,94.79,89.45,52.66,49.84,39.11,81.95,24.69,36.93,81.93,89.68,77.86,71.4,41.6,61.82,56.48,74.0
segformer_mit-b2,IoU,37.12,72.28,74.46,78.8,90.64,43.46,46.61,46.96,58.56,11.2,6.49,61.88,84.52,74.55,66.59,40.35,59.29,40.68,43.77
segformer_mit-b2,Acc,41.73,87.24,87.81,92.53,91.28,50.55,52.19,50.66,88.11,31.67,14.1,71.49,90.39,89.05,74.54,43.36,66.21,52.9,81.57
ddrnet,IoU,32.23,63.77,67.51,68.71,79.22,35.91,29.24,31.72,61.86,7.59,0.51,44.32,76.49,63.0,51.16,28.08,46.82,26.67,16.35
ddrnet,Acc,34.83,73.22,89.88,86.03,79.86,40.49,31.61,36.44,74.75,25.7,10.42,59.3,82.53,88.6,65.64,29.4,52.59,32.64,67.57
mask2former_r101,IoU,26.51,59.58,76.14,76.48,88.38,43.67,25.05,29.28,26.52,0.94,2.07,51.78,81.3,73.24,58.44,44.37,59.9,32.62,38.27
mask2former_r101,Acc,37.6,87.04,86.3,89.77,89.13,52.6,45.41,31.11,84.4,5.6,62.35,80.87,85.04,83.73,65.65,46.79,73.11,53.49,92.24
mask2former_swin-b-in22k-384x384-pre,IoU,48.96,84.04,80.06,87.18,94.91,50.99,54.48,72.43,73.43,22.5,5.09,64.85,93.47,83.55,65.84,66.23,71.74,47.3,69.33
mask2former_swin-b-in22k-384x384-pre,Acc,57.98,95.74,91.66,93.84,95.59,60.36,62.38,84.53,89.45,70.33,61.56,81.46,96.13,90.58,85.5,72.03,84.23,63.54,80.05
mask2former_swin-l-in22k-384x384-pre,IoU,49.26,84.69,81.85,89.17,96.1,57.32,58.7,72.22,72.02,16.02,6.56,67.61,93.13,86.75,75.22,66.03,71.9,53.52,65.53
mask2former_swin-l-in22k-384x384-pre,Acc,56.65,95.91,91.9,94.03,97.11,66.56,65.71,81.36,86.88,37.11,83.28,80.27,96.38,93.5,89.39,73.73,84.4,65.83,80.24
stdc1,IoU,23.42,46.34,53.14,65.99,73.48,29.58,20.05,30.91,44.23,4.94,7.08,52.78,63.92,64.86,20.14,21.09,44.94,21.92,20.22
stdc1,Acc,31.4,75.26,86.19,83.34,75.23,34.96,33.45,34.03,77.67,14.23,34.3,69.71,69.47,87.66,49.46,22.96,61.79,36.95,54.94
stdc1_in1k-pre,IoU,23.09,47.57,59.8,58.18,71.94,31.26,26.53,28.32,39.56,6.8,13.25,33.93,53.36,63.45,37.12,25.52,41.92,25.76,26.81
stdc1_in1k-pre,Acc,25.98,72.67,85.03,90.1,72.76,37.94,31.45,40.31,73.4,14.79,44.57,38.98,58.9,82.3,51.2,26.98,51.43,47.96,48.79
stdc2_in1k-pre,IoU,33.94,57.53,64.12,67.64,82.33,35.05,30.34,30.41,59.81,3.91,6.55,38.42,67.47,63.87,37.76,31.46,48.01,32.54,46.84
stdc2_in1k-pre,Acc,44.06,80.46,86.54,89.53,83.46,44.17,34.85,33.02,78.46,10.09,25.83,45.3,71.22,83.54,53.52,34.06,66.53,45.32,74.55
